id,detil,title,avgprice,comments,avgscore,fornting,address
bb651e568c75d5a8d8b28ef855c76e6f,http://e.meituan.com/meishi/834637/,井榕酒楼●生态闽菜（排尾路店）,98,72,4,https://img.meituan.net/600.600/msmerchant/e6694f09f183a56973999a3a50015fd6783072.jpg,台江区排尾路263号（近世茂外滩）
f295a6934629c364fc74f66a8149b6e9,http://e.meituan.com/meishi/41971450/,汕之膳叶记汕头牛肉火锅（温泉路店）,60,685,5,http://p1.meituan.net/600.600/bbia/aaebb41faff4db64329ac059acba4eaf450151.jpg,鼓楼区温泉路43号，温泉百合酒店往湖东路方向100米（永安街公交车站旁）
b7d9723ee3d26244b63c077da26d4aeb,http://e.meituan.com/meishi/50190137/,鲜洁美蛋糕,10,303,5,http://p0.meituan.net/600.600/deal/0e1622bb02812b52f113b69593224c5a597662.jpg,连江县中心城区风城镇玉荷东路8号楼第5间（机关新村旁）
685331e8543d813001f02b4beb142741,http://e.meituan.com/meishi/41777959/,大龙燚火锅（恒宇国际店）,100,2109,4,https://img.meituan.net/600.600/msmerchant/aaa995c0b7bec71602d9164a5bcaf88c36804.jpg,鼓楼区温泉支路东城街边39号恒宇国际1楼（原H2酒吧隔壁）
5b2100d830dfa7aacef1332ff6bf7c81,http://e.meituan.com/meishi/3247006/,鸡排风云（斗池路店）,17,25,4,http://p1.meituan.net/600.600/poi/fe254396ebb067755d84d0e7a81e05cb75776.jpg,台江区斗池路凤凰新村15座3号店（黎明永辉旁）
999871f919bef697d4f37ca1ebd2ff4f,http://e.meituan.com/meishi/42126570/,杨铭宇黄焖鸡米饭（状元街店）,20,208,3,http://p0.meituan.net/600.600/xianfu/ded2776bba294954b06de32c1de2563c4096.jpg,台江区状元路55号（大利嘉沃尔玛旁）
8322dd922a9df28459d52e4b8c389f52,http://e.meituan.com/meishi/6043244/,凯旋烘焙,19,636,5,https://img.meituan.net/600.600/msmerchant/4ab673df80f91cd8f5a73314ef4f9f2f43385.jpg,福建工程学院（旗山校区北校区）工程学院学府美食街一楼
2cc96a51dbb90fecf866de25b5edbdcf,http://e.meituan.com/meishi/72055854/,时光烘焙,0,929,5,http://p1.meituan.net/600.600/mogu/c9ea0c9334dde3a91fe6360c26ec766673616.jpg,长乐市中心城区郑和中路郑和花园1期3座一楼
25f0a9111ab0807ae88daea7bc4845a8,http://e.meituan.com/meishi/4165716/,初元私房料理,200,158,5,https://img.meituan.net/600.600/msmerchant/42b33fad9e909b2ecc383b4764dfd07e38372.jpg,鼓楼区华侨新村23号楼
de416e668ab9658cb8411a3f909f361b,http://e.meituan.com/meishi/66632798/,融侨皇冠假日酒店美厨汇全日餐厅,198,259,3,http://p1.meituan.net/600.600/deal/f868c12ed7390830f7c1d8506630bba4300918.jpg,台江区江滨西大道100-1号融侨皇冠假日酒店内
144c5516fd1e5d65a2ee118731a9c66a,http://e.meituan.com/meishi/5118139/,赤坂亭·M9和牛放题（东二环泰禾广场店）,218,642,4,http://p0.meituan.net/600.600/bbia/639aab77df7b4ceea8d22df84a9d10911277470.jpg,晋安区竹屿路东二环泰禾广场6楼（3号门）
66f9c55aa8e0e446237c9ff43915477f,http://e.meituan.com/meishi/50498258/,拌面大王（五四路店）,13,3,4,http://p1.meituan.net/600.600/mogu/8675529c8d1ec7cf9875241cd3a26ace54793.jpg,鼓楼区五四路273号省体斜对面（国色天香一楼）
34d775a2ed49434036cc55e93e71f7d7,http://e.meituan.com/meishi/65688248/,臻飨福闽清馆,67,471,4,http://p1.meituan.net/600.600/deal/d6af32a8390c1eafc5f04fe762681f6648567.jpg,晋安区西庄路233号天艺文创园8号楼8112室
c8d47f4667802752829045a6b2020bcd,http://e.meituan.com/meishi/4836101/,宝龙大排档海鲜吧,103,4,4,https://img.meituan.net/600.600/msmerchant/16effc9c4ef752823bd1895bb603fd6a449463.jpg,晋安区大坂村49号5楼
